key,en,fr,it,es,context
feed.empty.forYou.body,Follow citizens whose voice you care about — their posts will appear here.,Suivez les citoyens dont la voix compte pour vous — leurs publications apparaîtront ici.,Segui i cittadini la cui voce ti sta a cuore: i loro post appariranno qui.,Sigue a los ciudadanos cuya voz te importa: sus publicaciones aparecerán aquí.,"For-You empty-state body (from RN feedEmpty.follow.subtitle)"
feed.empty.retry,Retry,Réessayer,Riprova,Reintentar,Retry button on the feed error/empty state (from RN feedListEmpty.retry)
feed.error.loadFailed,Couldn't load the feed.,Impossible de charger le fil.,Impossibile caricare il feed.,No se pudo cargar el feed.,mt: Shown when the feed batch request fails (fr/it/es)
feed.post.contentDeleted,This content has been deleted,Ce contenu a été supprimé,Questo contenuto è stato eliminato,Este contenido ha sido eliminado,"Placeholder for a removed post in the feed (from RN feed.contentHasBeenDeleted)"
feed.post.underModeration,Under moderation,En cours de modération,In fase di moderazione,En moderación,"mt: Badge on a post awaiting moderation (it/es; fr from RN post.underModeration)"
feed.post.readMore,Read more,Lire la suite,Leggi di più,Leer más,"Inline expander appended to a collapsed long post body (from RN common.post.readMore)"
feed.post.bookmarkComingSoon,Bookmarks coming soon,Favoris bientôt disponibles,I segnalibri arrivano presto,Los marcadores llegan pronto,"mt: Snackbar when a user taps the bookmark action on a feed post (bookmark mutation deferred) (fr/it/es)"
feed.post.seeMore,See more,Voir plus,Mostra altro,Ver más,"Truncation expander on a long post (from RN profile.seeMore)"
feed.post.showLess,Show less,Afficher moins,Mostra meno,Mostrar menos,"Collapse a previously expanded post (from RN feed.showLess)"
feed.reaction.agree,Agree,D'accord,D'accordo,De acuerdo,"Reaction label (enum AGREE; from RN reactions.agree, capitalized)"
feed.reaction.smart,Smart,Intelligent,Intelligente,Inteligente,Reaction label (enum SMART; from RN reactions.smart)
feed.reaction.useful,Useful,Utile,Utile,Útil,Reaction label (enum USEFUL; from RN reactions.useful)
feed.reaction.inspiring,Inspiring,Inspirant,Stimolante,Inspirador,Reaction label (enum INSPIRING; from RN reactions.inspiring)
feed.reaction.disagree,Disagree,Pas d'accord,Non d'accordo,En desacuerdo,Reaction label (enum DISAGREE; from RN reactions.disagree)
feed.reaction.aggressive,Aggressive,Agressif,Aggressivo,Agresivo,Reaction label (enum AGGRESSIVE; from RN reactions.angry)
feed.reaction.deceptive,Deceptive,Trompeur,Ingannevole,Engañoso,Reaction label (enum DECEPTIVE; from RN reactions.confusing)
feed.reaction.unverifiable,Unverifiable,Invérifiable,Non verificabile,No verificable,Reaction label (enum UNVERIFIABLE; from RN reactions.unverifiable)
feed.reaction.locked,You've already reacted to this post.,Vous avez déjà réagi à cette publication.,Hai già reagito a questo post.,Ya has reaccionado a esta publicación.,mt: Vote-once messaging when a user taps a reaction after already reacting (fr/it/es)
feed.reaction.failed,Failed to react to the post. Please try again.,Échec de la réaction à la publication. Veuillez réessayer.,Impossibile reagire al post. Riprova.,No se pudo reaccionar a la publicación. Inténtalo de nuevo.,"mt: Toast when the reaction mutation fails (it/es; from RN common.toast.post.likeFailed)"
feed.reactionStats.title,Reactions & Stats,Statistiques des réactions,Reazioni e statistiche,Reacciones y estadísticas,"Title of the reaction-stats bottom sheet (from RN feed.StatsTitle)"
feed.reactionStats.empty,No detailed reactions yet,Aucune réaction détaillée pour le moment,Ancora nessuna reazione dettagliata,Aún no hay reacciones detalladas,"Empty state inside the reaction-stats sheet (from RN feed.noDetailedReactions)"
feed.reactionStats.replies,Replies,Réponses,Risposte,Respuestas,"Replies tally label in the reaction-stats sheet (from RN feed.replies)"
feed.reactionStats.reposts,Reposts,Reposts,Repost,Reposts,"mt: Reposts tally label in the reaction-stats sheet (it/es; fr from RN feed.reposts)"
feed.reactionStats.upvotes,Upvotes,Upvotes,Voti positivi,Votos positivos,"mt: Upvotes tally label in the reaction-stats sheet (it/es; fr from RN feed.upvotes)"
feed.reactionStats.downvotes,Downvotes,Downvotes,Voti negativi,Votos negativos,"mt: Downvotes tally label in the reaction-stats sheet (it/es; fr from RN feed.downvotes)"
feed.voteRules.title,Vote first and see the counter later!,Votez d'abord et voyez le compteur plus tard !,Vota prima e guarda il contatore dopo!,¡Vota primero y mira el contador después!,"mt: Title of the one-time vote-rules explainer shown before a user's first reaction (it/es; fr from RN voteRules.title)"
feed.voteRules.body,Hidden votes ensure that you vote based on genuine opinion rather than following the crowd.,Le vote caché garantit que vous votez selon votre opinion sincère et non en suivant la majorité.,I voti nascosti garantiscono che tu voti in base alla tua opinione sincera e non seguendo la folla.,Los votos ocultos garantizan que votes según tu opinión sincera y no siguiendo a la mayoría.,"mt: Body of the vote-rules explainer (it/es; fr from RN voteRules.description)"
feed.voteRules.confirm,I understand,Je comprends,Ho capito,Lo entiendo,"mt: Dismiss button on the vote-rules explainer (it/es; fr from RN voteRules.understandButton)"
feed.tip.comingSoon,Tips coming soon,Pourboires bientôt disponibles,Le mance arrivano presto,Las propinas llegan pronto,mt: Snackbar shown when an eligible user taps the tip trigger (tip flow deferred) (fr/it/es)
feed.tip.upgradeNeeded,Upgrade to unlock tips,Améliorez votre plan pour débloquer les pourboires,Esegui l'upgrade per sbloccare le mance,Mejora tu plan para desbloquear las propinas,"mt: Toast shown when a user without the tips:give capability taps the tip trigger (it/es; from RN feed.tipUpgradeRequired)"
post.detail.title,Post,Publication,Post,Publicación,"mt: Navigation title of the post-detail screen (it/es; fr from RN post.post)"
post.detail.backToPost,Back to post,Retour à la publication,Torna al post,Volver a la publicación,"mt: Link back to the parent post from a reply thread (it/es; fr from RN post.backToPost)"
post.detail.readMore,Read more,Lire la suite,Leggi di più,Leer más,"mt: Expander on the full post in the detail view (it/es; from RN post.readMore)"
post.comments.title,Replies,Réponses,Risposte,Respuestas,"Section header above the comment thread (from RN postFeedDetail.replies)"
post.comments.sortBy,Sort by,Trier par,Ordina per,Ordenar por,"mt: Comment-thread sort control label (it/es; from RN post.buttonSortBy)"
post.comments.empty,Be the first to comment,Soyez le premier à commenter,Sii il primo a commentare,Sé el primero en comentar,mt: Empty-state for a post with no comments (fr/it/es)
post.comments.repliesComingSoon,Replies coming soon,Réponses bientôt disponibles,Le risposte arrivano presto,Las respuestas llegan pronto,mt: Snackbar when a user taps reply (comment composer deferred in Phase 6) (fr/it/es)
post.comments.showReplies,Show replies,Afficher les réponses,Mostra le risposte,Mostrar respuestas,"mt: Expander revealing nested replies (it/es; from RN postFeedDetail.showReplies)"
post.comments.hideReplies,Hide replies,Masquer les réponses,Nascondi le risposte,Ocultar respuestas,"mt: Collapse nested replies (it/es; from RN postFeedDetail.hideReplies)"
post.comments.added,Comment added,Commentaire ajouté,Commento aggiunto,Comentario añadido,"mt: Toast after a comment posts successfully (it/es; from RN postFeedDetail.commentAdded)"
post.time.justNow,Just now,À l'instant,Adesso,Ahora mismo,"mt: Relative timestamp for very recent posts/comments (it/es; from RN date.justNow)"
post.time.minutesAgo,{{count}}m ago,Il y a {{count}} min,{{count}} min fa,Hace {{count}} min,mt: Relative timestamp in minutes (fr/it/es)
post.time.hoursAgo,{{count}}h ago,Il y a {{count}} h,{{count}} h fa,Hace {{count}} h,mt: Relative timestamp in hours (fr/it/es)
post.time.daysAgo,{{count}}d ago,Il y a {{count}} j,{{count}} g fa,Hace {{count}} d,mt: Relative timestamp in days (fr/it/es)
post.time.compact.now,now,now,now,now,"Compact relative timestamp for a just-now post in the feed cell (mirrors RN dayjs updateLocale s: 'now'; locale-neutral abbreviation)"
post.time.compact.minutes,{{count}} m,{{count}} m,{{count}} m,{{count}} m,"Compact relative timestamp in minutes shown in the feed cell header (mirrors RN dayjs '%d m'; locale-neutral abbreviation)"
post.time.compact.hours,{{count}} h,{{count}} h,{{count}} h,{{count}} h,"Compact relative timestamp in hours shown in the feed cell header (mirrors RN dayjs '%d h'; locale-neutral abbreviation)"
post.time.compact.days,{{count}} d,{{count}} d,{{count}} d,{{count}} d,"Compact relative timestamp in days shown in the feed cell header (mirrors RN dayjs '%d d'; locale-neutral abbreviation)"
post.time.compact.weeks,{{count}} w,{{count}} w,{{count}} w,{{count}} w,"Compact relative timestamp in weeks shown in the feed cell header (mirrors RN dayjs '%d w'; locale-neutral abbreviation)"
post.time.compact.months,{{count}} mo,{{count}} mo,{{count}} mo,{{count}} mo,"Compact relative timestamp in months shown in the feed cell header (mirrors RN dayjs '%d mo'; locale-neutral abbreviation)"
post.time.compact.years,{{count}} y,{{count}} y,{{count}} y,{{count}} y,"Compact relative timestamp in years shown in the feed cell header (mirrors RN dayjs '%d y'; locale-neutral abbreviation)"
feed.media.tapForSound,Tap for sound,Touchez pour le son,Tocca per l'audio,Toca para activar el sonido,mt: Overlay hint on a muted auto-playing video (fr/it/es)
feed.media.tapToMute,Tap to mute,Touchez pour couper le son,Tocca per disattivare l'audio,Toca para silenciar,mt: Overlay hint to mute a playing video (fr/it/es)
feed.media.holdForFullscreen,Hold for fullscreen,Maintenez pour le plein écran,Tieni premuto per lo schermo intero,Mantén pulsado para pantalla completa,mt: Long-press hint to open a video fullscreen (fr/it/es)
feed.media.pinchToZoom,Pinch to zoom,Pincez pour zoomer,Pizzica per ingrandire,Pellizca para ampliar,mt: Hint in the fullscreen image viewer (fr/it/es)
feed.media.imageCount,{{current}} of {{total}},{{current}} sur {{total}},{{current}} di {{total}},{{current}} de {{total}},mt: Page indicator on the media carousel (fr/it/es)
feed.media.loadFailed,Couldn't load media,Impossible de charger le média,Impossibile caricare il contenuto multimediale,No se pudo cargar el contenido multimedia,mt: Shown when an image or video fails to load (fr/it/es)
feed.post.menu.translate,Translate,Traduire,Traduci,Traducir,"Overflow-menu action that machine-translates another user's post (from RN layout.feed.options.translate)"
feed.post.menu.edit,Edit,Modifier,Modifica,Editar,"Overflow-menu action to edit the viewer's own post (from RN layout.feed.options.edit)"
feed.post.menu.save,Save,Enregistrer,Salva,Guardar,"Overflow-menu action to bookmark a post (from RN layout.feed.options.save)"
feed.post.menu.copyLink,Copy link,Copier le lien,Copia link,Copiar enlace,"Overflow-menu action that copies the post's public URL (from RN layout.feed.options.copyLink)"
feed.post.menu.viewLess,View less,Voir moins,Vedi meno,Ver menos,"Overflow-menu action to mute/see less of an author (from RN layout.feed.options.hide)"
feed.post.menu.report,Report,Signaler,Segnala,Reportar,"Overflow-menu action to report another user's post (from RN layout.feed.options.report)"
feed.post.menu.delete,Delete,Supprimer,Elimina,Eliminar,"Overflow-menu destructive action to delete the viewer's own post (from RN layout.feed.options.delete)"
feed.post.menu.title,Post options,Options de la publication,Opzioni del post,Opciones de la publicación,"Accessibility label for the post overflow (three-dot) menu trigger"
feed.post.linkCopied,Link copied,Lien copié,Link copiato,Enlace copiado,"Snackbar confirming the post link was copied to the clipboard (from RN common.profile.linkCopied)"
feed.post.savedToBookmarks,Saved to your bookmarks,Enregistré dans vos favoris,Salvato nei segnalibri,Guardado en tus marcadores,"Snackbar confirming a post was bookmarked (from RN common.savedInYourBookmarks)"
feed.post.removedFromBookmarks,Removed from your bookmarks,Retiré de vos favoris,Rimosso dai segnalibri,Eliminado de tus marcadores,"Snackbar confirming a post was un-bookmarked (from RN common.removedFromYourBookmarks)"
feed.post.bookmarkFailed,Couldn't update your bookmarks,Impossible de mettre à jour vos favoris,Impossibile aggiornare i segnalibri,No se pudieron actualizar tus marcadores,"mt: Snackbar when the bookmark mutation fails and the glyph rolls back (fr/it/es)"
feed.post.deleted,Post deleted,Publication supprimée,Post eliminato,Publicación eliminada,"Snackbar confirming a post was deleted (from RN common.toast.post.deleted)"
feed.post.deleteFailed,Couldn't delete the post,Impossible de supprimer la publication,Impossibile eliminare il post,No se pudo eliminar la publicación,"Snackbar when the delete mutation fails (from RN common.toast.post.failedDeleted)"
feed.post.reported,Post reported,Publication signalée,Post segnalato,Publicación reportada,"mt: Snackbar confirming a post was reported for moderation (fr/it/es)"
feed.post.reportFailed,Couldn't report the post,Impossible de signaler la publication,Impossibile segnalare il post,No se pudo reportar la publicación,"mt: Snackbar when the report mutation fails (fr/it/es)"
feed.post.translateFailed,Couldn't translate the post,Impossible de traduire la publication,Impossibile tradurre il post,No se pudo traducir la publicación,"mt: Snackbar when the translation request fails (fr/it/es)"
feed.post.delete.confirmTitle,Delete this post?,Supprimer cette publication ?,Eliminare questo post?,¿Eliminar esta publicación?,"Title of the confirm dialog before deleting the viewer's own post"
feed.post.delete.confirmBody,This can't be undone.,Cette action est irréversible.,Questa azione non può essere annullata.,Esta acción no se puede deshacer.,"Body of the delete-confirmation dialog"
feed.post.delete.confirmCta,Delete,Supprimer,Elimina,Eliminar,"Destructive confirm button in the delete dialog"
feed.post.delete.cancel,Cancel,Annuler,Annulla,Cancelar,"Cancel button in the delete dialog (from RN common.cancel)"
feed.post.showOriginal,Show original,Afficher l'original,Mostra originale,Mostrar original,"Toggle to revert an inline-translated post back to its original text"
