key,en,fr,it,es,context
paywall.verify.timeoutTitle,We couldn't verify your payment.,Nous n'avons pas pu vérifier votre paiement.,Non siamo riusciti a verificare il tuo pagamento.,No pudimos verificar tu pago.,Title of the verification-timeout fallback
paywall.verify.timeoutBody,Your payment was received but our server is still confirming it. This usually clears in under a minute. You can wait a moment and retry.,Votre paiement a été reçu mais notre serveur le confirme encore. Cela se résout généralement en moins d'une minute. Patientez un instant et réessayez.,Il tuo pagamento è stato ricevuto ma il nostro server lo sta ancora confermando. Di solito si risolve in meno di un minuto. Attendi un momento e riprova.,Tu pago se recibió pero nuestro servidor aún lo está confirmando. Suele resolverse en menos de un minuto. Espera un momento y reinténtalo.,mt: Body of the verification-timeout fallback (fr/it/es)
paywall.verify.continueToApp,Continue to the app,Continuer vers l'application,Continua nell'app,Continuar a la aplicación,mt: Escape CTA on the verification-timeout fallback (fr/it/es)
paywall.subscriptionEnded.title,Your subscription has ended,Votre abonnement est arrivé à échéance,Il tuo abbonamento è terminato,Tu suscripción ha finalizado,Title on the subscription-ended screen
paywall.subscriptionEnded.headline,We don't want you to leave,Nous ne voulons pas vous voir partir,Non vogliamo che tu vada via,No queremos que te vayas,Headline on the subscription-ended screen
paywall.subscriptionEnded.body1,You were one of our Founding Citizens. Your contribution helped Republike grow into the community it is today.,Vous étiez l'un de nos Citoyens Fondateurs. Votre contribution a aidé Republike à devenir la communauté qu'elle est aujourd'hui.,Eri uno dei nostri Cittadini Fondatori. Il tuo contributo ha aiutato Republike a diventare la comunità che è oggi.,Fuiste uno de nuestros Ciudadanos Fundadores. Tu contribución ayudó a que Republike se convirtiera en la comunidad que es hoy.,First body paragraph on the subscription-ended screen
paywall.subscriptionEnded.body2,"Renew your subscription to keep your status, your voice, and your access to everything you helped build.","Renouvelez votre abonnement pour conserver votre statut, votre voix, et l'accès à tout ce que vous avez contribué à bâtir.","Rinnova il tuo abbonamento per mantenere il tuo status, la tua voce e l'accesso a tutto ciò che hai contribuito a costruire.","Renueva tu suscripción para conservar tu estatus, tu voz y tu acceso a todo lo que ayudaste a construir.",Second body paragraph on the subscription-ended screen
paywall.subscriptionEnded.whatHappenedTitle,What happened?,Que s'est-il passé ?,Cosa è successo?,¿Qué ha pasado?,Section title explaining the failed renewal
paywall.subscriptionEnded.whatHappenedBody,Your most recent renewal payment could not be completed. This usually means the card on file has expired or was declined. Renewing below will let you update your payment method and pick up where you left off.,Votre dernier paiement de renouvellement n'a pas pu être effectué. La carte enregistrée a probablement expiré ou a été refusée. Renouvelez ci-dessous pour mettre à jour votre moyen de paiement et reprendre là où vous vous êtes arrêté.,Il tuo ultimo pagamento di rinnovo non è andato a buon fine. Di solito significa che la carta registrata è scaduta o è stata rifiutata. Rinnovando qui sotto potrai aggiornare il metodo di pagamento e riprendere da dove avevi lasciato.,Tu pago de renovación más reciente no se pudo completar. Esto suele significar que la tarjeta registrada caducó o fue rechazada. Al renovar abajo podrás actualizar tu método de pago y continuar donde lo dejaste.,Body explaining the failed renewal
paywall.subscriptionEnded.cta,Renew my subscription,Renouveler mon abonnement,Rinnova il mio abbonamento,Renovar mi suscripción,Primary CTA on the subscription-ended screen
paywall.error.paymentFailed,Payment failed. Please try again later.,Échec du paiement. Veuillez réessayer plus tard.,Pagamento non riuscito. Riprova più tardi.,El pago falló. Inténtalo de nuevo más tarde.,Toast when an IAP purchase fails
paywall.error.receiptInUse,Subscriptions can only be associated with one account at a time.,Les abonnements ne peuvent être associés qu'à un seul compte à la fois.,Gli abbonamenti possono essere associati a un solo account alla volta.,Las suscripciones solo pueden asociarse a una cuenta a la vez.,Toast when a receipt is already tied to another account
