key,en,fr,it,es,context
settings.delete.message,"Your account is scheduled for deletion and you have 7 days to change your mind — sign back in within the grace period to cancel. After 7 days your profile, posts and data are permanently removed.","Votre compte est programmé pour suppression et vous avez 7 jours pour changer d'avis — reconnectez-vous pendant ce délai pour annuler. Après 7 jours, votre profil, vos publications et vos données sont définitivement supprimés.","Il tuo account è programmato per l'eliminazione e hai 7 giorni per ripensarci — accedi di nuovo entro il periodo di tolleranza per annullare. Dopo 7 giorni il tuo profilo, i post e i dati vengono rimossi definitivamente.","Tu cuenta está programada para eliminarse y tienes 7 días para cambiar de opinión — vuelve a iniciar sesión dentro del periodo de gracia para cancelar. Después de 7 días tu perfil, publicaciones y datos se eliminan permanentemente.","mt: Body of the account-deletion confirmation dialog explaining the 7-day grace period (fr/it/es; matches webapp behaviour)"
settings.delete.confirm,Delete account,Supprimer le compte,Elimina account,Eliminar cuenta,"mt: Destructive confirm button in the account-deletion dialog (reuses settings.row.deleteAccount copy)"
settings.delete.cancel,Keep my account,Conserver mon compte,Mantieni il mio account,Conservar mi cuenta,"mt: Cancel button in the account-deletion dialog (fr/it/es)"
settings.delete.failed,Couldn't delete your account. Try again.,Impossible de supprimer votre compte. Réessayez.,Impossibile eliminare il tuo account. Riprova.,No se pudo eliminar tu cuenta. Inténtalo de nuevo.,"mt: Toast shown when the deleteAccount API call fails (fr/it/es)"
edit.title,Edit profile,Modifier le profil,Modifica profilo,Editar perfil,"mt: Navigation title of the edit-profile screen (reuses profile.cta.edit copy)"
edit.save,Save,Enregistrer,Salva,Guardar,"mt: Save button on the edit-profile form (fr/it/es; from RN common.save)"
edit.avatarLabel,Profile photo,Photo de profil,Foto profilo,Foto de perfil,"mt: Caption above the tappable avatar on the edit-profile form (fr/it/es)"
edit.changePhoto,Change photo,Changer la photo,Cambia foto,Cambiar foto,"mt: Tappable caption under the avatar to pick a new photo (fr/it/es)"
edit.field.firstName,First name,Prénom,Nome,Nombre,"mt: Edit-profile form field label (fr/it/es)"
edit.field.lastName,Last name,Nom,Cognome,Apellido,"mt: Edit-profile form field label (fr/it/es)"
edit.field.username,Username,Nom d'utilisateur,Nome utente,Nombre de usuario,"mt: Edit-profile form field label (fr/it/es)"
edit.field.usernameNote,Usernames can't be changed.,Le nom d'utilisateur ne peut pas être modifié.,Il nome utente non può essere modificato.,El nombre de usuario no se puede cambiar.,"mt: Helper text under the read-only username field (fr/it/es)"
edit.field.bio,Bio,Bio,Bio,Biografía,"mt: Edit-profile bio field label (fr/it/es)"
edit.field.language,Language,Langue,Lingua,Idioma,"mt: Edit-profile language preference picker label (reuses settings.row.language copy)"
edit.bio.counter,{{count}}/280,{{count}}/280,{{count}}/280,{{count}}/280,"Character counter under the bio field (280-char max); count is interpolated"
edit.saveFailed,Couldn't save your changes. Try again.,Impossible d'enregistrer vos modifications. Réessayez.,Impossibile salvare le modifiche. Riprova.,No se pudieron guardar tus cambios. Inténtalo de nuevo.,"mt: Toast shown when an optimistic profile save is reverted after the API call fails (fr/it/es)"
edit.saved,Profile updated,Profil mis à jour,Profilo aggiornato,Perfil actualizado,"mt: Toast shown after a successful profile save (fr/it/es)"
edit.avatarUploadUnavailable,Photo saved locally — uploads arrive soon.,Photo enregistrée localement — l'envoi arrive bientôt.,Foto salvata localmente — il caricamento arriverà presto.,Foto guardada localmente — la subida llegará pronto.,"mt: Note shown when a picked avatar is previewed locally because the upload endpoint isn't live yet (fr/it/es)"
plan.freeCitizen,Free Citizen,Citoyen gratuit,Cittadino gratuito,Ciudadano gratuito,"mt: Subscription plan title — FREE_CITIZEN (fr/it/es)"
plan.citizen,Citizen,Citoyen,Cittadino,Ciudadano,"mt: Subscription plan title — CITIZEN (fr/it/es)"
plan.foundingCitizen,Founding Citizen,Citoyen fondateur,Cittadino fondatore,Ciudadano fundador,"mt: Subscription plan title — FOUNDING_CITIZEN (fr/it/es)"
plan.foundingFather,Founding Father,Père fondateur,Padre fondatore,Padre fundador,"mt: Subscription plan title — FOUNDING_FATHER (fr/it/es)"
plan.foundingConsul,Founding Consul,Consul fondateur,Console fondatore,Cónsul fundador,"mt: Subscription plan title — FOUNDING_CONSUL (fr/it/es; known i18n gap flagged in Phase 7 — now sourced here)"
lang.en,English,Anglais,Inglese,Inglés,"mt: Language picker option — English (fr/it/es)"
lang.fr,French,Français,Francese,Francés,"mt: Language picker option — French (fr/it/es)"
lang.it,Italian,Italien,Italiano,Italiano,"mt: Language picker option — Italian (fr/it/es)"
lang.es,Spanish,Espagnol,Spagnolo,Español,"mt: Language picker option — Spanish (fr/it/es)"
