key,en,fr,it,es,context
onboarding.principle.continue,Continue,Continuer,Continua,Continuar,Continue CTA advancing through the principle carousel
onboarding.principle.swearOath,Swear the oath,Prêter serment,Presta giuramento,Prestar juramento,CTA on the final principle slide to accept the oath
onboarding.moderation.title,Intelligent moderation,Modération intelligente,Moderazione intelligente,Moderación inteligente,Title on the moderation-explanation screen
onboarding.moderation.body,"A reported post randomly selects 7 Citizens to vote for removal or retention, consciously and in line with Republike's shared values.","Un post signalé désigne aléatoirement 7 Citizens appelés à voter le retrait ou maintien, en conscience et dans le sens des valeurs communes à Republike.","Un post segnalato seleziona casualmente 7 Cittadini chiamati a votare per la rimozione o il mantenimento, con consapevolezza e in linea con i valori condivisi di Republike.","Una publicación denunciada selecciona al azar a 7 Ciudadanos para votar su eliminación o conservación, conscientemente y conforme a los valores compartidos de Republike.",Explanation body on the moderation screen
onboarding.moderation.languageBody,Choose the languages you can moderate in.,Choisissez les langues dans lesquelles vous pouvez modérer.,Scegli le lingue in cui puoi moderare.,Elige los idiomas en los que puedes moderar.,mt: Sub-instruction about moderation languages (fr/it/es)
onboarding.moderation.addLanguage,Add a language,Ajouter une langue,Aggiungi una lingua,Añadir un idioma,Row label to add a moderation language
onboarding.moderation.seePrinciples,See the principles,Voir les principes,Vedi i principi,Ver los principios,mt: CTA advancing from moderation to the principles (fr/it/es)
onboarding.profile.title,Time to complete your Citizen profile,Il est temps de compléter votre profil citoyen,È ora di completare il tuo profilo da Cittadino,Es hora de completar tu perfil de Ciudadano,Heading on the profile-completion screen
onboarding.profile.subtitle,"Add a profile picture and a bio to introduce yourself, and a banner to personalize your profile page.","Ajoutez une photo de profil et une biographie pour vous présenter, une bannière pour personnaliser votre page de profil.","Aggiungi una foto profilo e una bio per presentarti, e un banner per personalizzare la tua pagina.","Añade una foto de perfil y una biografía para presentarte, y un banner para personalizar tu página de perfil.",Subtitle on the profile-completion screen
onboarding.profile.profilePicture,Profile picture,Photo de profil,Foto profilo,Foto de perfil,Section label for the avatar picker
onboarding.profile.username,Username,Nom d'utilisateur,Nome utente,Nombre de usuario,Username field label on profile completion
onboarding.profile.usernamePlaceholder,Choose a username,Choisissez un nom d'utilisateur,Scegli un nome utente,Elige un nombre de usuario,Username field placeholder
onboarding.profile.firstName,First name,Prénom,Nome,Nombre,First-name field label on profile completion
onboarding.profile.lastName,Last name,Nom,Cognome,Apellido,Last-name field label on profile completion
onboarding.profile.bio,Bio,Biographie,Bio,Biografía,Bio field label on profile completion
onboarding.profile.bioPlaceholder,Write a bio,Écrivez une biographie,Scrivi una bio,Escribe una biografía,Bio field placeholder on profile completion
onboarding.profile.usernameTaken,This username is already taken,Ce nom d'utilisateur est déjà pris,Questo nome utente è già in uso,Este nombre de usuario ya está en uso,Validation message when a username is unavailable
onboarding.profile.usernameAvailable,Available,Disponible,Disponibile,Disponible,Live rule confirming the username is free
onboarding.profile.usernameInvalid,"3–16 characters, starting with a letter (letters, digits, . or _)","3 à 16 caractères, commençant par une lettre (lettres, chiffres, . ou _)","Da 3 a 16 caratteri, inizia con una lettera (lettere, cifre, . o _)","De 3 a 16 caracteres, empezando por una letra (letras, dígitos, . o _)",Validation hint when the username doesn't match the format rule
onboarding.profile.usernameChecking,Checking availability…,Vérification de la disponibilité…,Verifica della disponibilità…,Comprobando disponibilidad…,Live status while the username availability check is in flight
onboarding.addFriend.title,Some of your friends might already be Citizens. Let's find them.,Certains de vos amis sont peut-être déjà Citoyens. Trouvons-les.,Alcuni dei tuoi amici potrebbero già essere Cittadini. Troviamoli.,Algunos de tus amigos quizá ya sean Ciudadanos. Vamos a encontrarlos.,mt: Heading on the add-friend prompt screen (it/es)
onboarding.addFriend.invite,Invite friends,Inviter des amis,Invita amici,Invitar amigos,mt: Primary CTA on the add-friend prompt (fr/it/es)
onboarding.addFriend.skip,Skip,Passer,Salta,Omitir,Secondary skip CTA on the add-friend prompt
onboarding.profile.avatarUploadFailed,Your photo couldn't be uploaded — you can add it later.,Votre photo n'a pas pu être envoyée — vous pourrez l'ajouter plus tard.,Non è stato possibile caricare la foto — puoi aggiungerla più tardi.,No se pudo subir tu foto — puedes añadirla más tarde.,"mt: Non-blocking onboarding error shown when the avatar S3 upload fails; profile still completes without the photo"
